,Name,Campaign Twitter,Personal Twitter,Official Twitter
396,Michael Cooper,https://www.twitter.com/MCooper2022,NaN,NaN
397,Joy Diaz,https://www.twitter.com/JoyDiaz_TXGov,NaN,NaN
398,Beto O'Rourke,https://www.twitter.com/BetoORourke,NaN,NaN
399,Rich Wakeland,https://www.twitter.com/WakelandRich,NaN,NaN
400,Greg Abbott,NaN,https://www.twitter.com/GregAbbott_TX,NaN
401,Paul Belew,NaN,NaN,NaN
402,Daniel Harrison,https://www.twitter.com/Harrison4TxGov,NaN,NaN
403,Kandy Kaye Horn,NaN,NaN,NaN
404,Donald Huffines,https://www.twitter.com/DonHuffines,NaN,NaN
405,Rick Perry,NaN,NaN,NaN
406,Chad Prather,NaN,https://www.twitter.com/WatchChad,NaN
407,Allen B. West,https://www.twitter.com/West4Texas,https://www.twitter.com/AllenWest,NaN
408,Jacqueline Abernathy,https://www.twitter.com/abernathyfortx,https://www.twitter.com/ProfAbernathy,https://www.twitter.com/henrymcmaster
409,Mark Goloby,NaN,NaN,NaN
